user@ubunt:~/myservice$ docker compose logs myservice | grep -E "(Cache HIT|Cache MISS|Cache SET)" | tail -20
user@ubunt:~/myservice$ docker compose logs myservice | grep "Rate limit exceeded"
user@ubunt:~/myservice$ docker compose logs myservice | grep "Rate limit exceeded"


-- LOGIN attempts - checking rate limiting

myservice-1  | tskv	timestamp=2026-05-07T10:27:45.101073	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=1b31173bdd5ea255b800149214dbd4f7	span_id=0045d099dfd2f118	link=d3e5b0fc540adb47ec7e56cae68cb79b	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.101085	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=1b31173bdd5ea255b800149214dbd4f7	span_id=0045d099dfd2f118	link=d3e5b0fc540adb47ec7e56cae68cb79b	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.101090	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=1b31173bdd5ea255b800149214dbd4f7	span_id=0045d099dfd2f118	parent_id=	link=d3e5b0fc540adb47ec7e56cae68cb79b	stopwatch_name=POST /api/login	total_time=0.031125	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.101059	http_handle_request_time=0.008470	http_parse_request_data_time=0.000085	http_check_auth_time=0.000236	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102571	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=50e35f2bba88c0cb993b29c6ebdcaeed	span_id=7b1f202d579bf342	link=2f2cd8dc01c23a898b7942145075660d	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102583	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=50e35f2bba88c0cb993b29c6ebdcaeed	span_id=7b1f202d579bf342	link=2f2cd8dc01c23a898b7942145075660d	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102588	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=50e35f2bba88c0cb993b29c6ebdcaeed	span_id=7b1f202d579bf342	parent_id=	link=2f2cd8dc01c23a898b7942145075660d	stopwatch_name=POST /api/login	total_time=0.031118	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.102557	http_handle_request_time=0.008572	http_parse_request_data_time=0.000096	http_check_auth_time=0.000223	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102609	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=0fe397006de2ab7711084571dd616a27	span_id=cc5a3a6cb6740d21	link=412515077ff1a8afc19864f192e218b1	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102624	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=48bd21790857676e1a595d043941e264	span_id=77ff7aeaee6f6f52	link=e54a36116092fa71fafd99c2529e36e3	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102627	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=0fe397006de2ab7711084571dd616a27	span_id=cc5a3a6cb6740d21	link=412515077ff1a8afc19864f192e218b1	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102636	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=48bd21790857676e1a595d043941e264	span_id=77ff7aeaee6f6f52	link=e54a36116092fa71fafd99c2529e36e3	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102633	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=0fe397006de2ab7711084571dd616a27	span_id=cc5a3a6cb6740d21	parent_id=	link=412515077ff1a8afc19864f192e218b1	stopwatch_name=POST /api/login	total_time=0.03162	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.102602	http_handle_request_time=0.008368	http_parse_request_data_time=0.000051	http_check_auth_time=0.000097	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.102640	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=48bd21790857676e1a595d043941e264	span_id=77ff7aeaee6f6f52	parent_id=	link=e54a36116092fa71fafd99c2529e36e3	stopwatch_name=POST /api/login	total_time=0.031614	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.102609	http_handle_request_time=0.008335	http_parse_request_data_time=0.000097	http_check_auth_time=0.000240	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.103958	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=4f1726df492d458f24daa23a1228c949	span_id=ac350e720b5c3173	link=d6d9a8e9fde6d13624b74a9a496e39b2	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.103969	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=4f1726df492d458f24daa23a1228c949	span_id=ac350e720b5c3173	link=d6d9a8e9fde6d13624b74a9a496e39b2	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.103974	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=4f1726df492d458f24daa23a1228c949	span_id=ac350e720b5c3173	parent_id=	link=d6d9a8e9fde6d13624b74a9a496e39b2	stopwatch_name=POST /api/login	total_time=0.030075	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.103944	http_handle_request_time=0.008104	http_parse_request_data_time=0.000085	http_check_auth_time=0.000240	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.103994	level=INFO	module=LogRequest ( userver/core/src/server/middlewares/handler_adapter.cpp:164 )trace_id=2bb7395b0be6f483adcdd6812d552473	span_id=562eddcd9412ae31	link=dc3eb99a5c85f468addca3a10aba64cd	meta_type=/api/login	_type=request	request_body_length=40	body={"login":"testuser","password":"123456"}	uri=/api/login	method=POST	text=start handling POST /api/login
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.104009	level=WARNING	module=HandleRequestThrow ( src/handlers/auth_handlers.cpp:97 )	trace_id=2bb7395b0be6f483adcdd6812d552473	span_id=562eddcd9412ae31	link=dc3eb99a5c85f468addca3a10aba64cd	text=Rate limit exceeded for IP: ::ffff:172.19.0.1
myservice-1  | tskv	timestamp=2026-05-07T10:27:45.104013	level=WARNING	module=MakeSpan ( userver/core/src/server/middlewares/tracing.cpp:114 )	trace_id=2bb7395b0be6f483adcdd6812d552473	span_id=562eddcd9412ae31	parent_id=	link=dc3eb99a5c85f468addca3a10aba64cd	stopwatch_name=POST /api/login	total_time=0.025471	span_ref_type=child	stopwatch_units=ms	start_timestamp=1778149665.103987	http_handle_request_time=0.005011	http_parse_request_data_time=0.000061	http_check_auth_time=0.000112	meta_code=429	http.route=/api/login	meta_type=/api/login	_type=response	span_kind=serverhttp.request.method=POST	body={"error": "Too many login attempts. Please try again later."}	uri=/api/login	text=
